21,121,112,1597,235,141,151,452,575,206,202,217,188,119,124,263,126,157,196,188,277,529,208,333,218,197,140,119,165,335,116,138,158,80,164,290,176,147,1812,469,868,97,103,169,2792,2247,195,90,2687,

23,135,115,162,45,152,77,104,49,81,88,101,124,70,89,111,48,91,94,73,81,69,137,118,109,96,99,101,58,112,28,107,57,80,46,111,76,64,134,66,125,73,69,33,46,64,142,69,1140,

21,105,102,182,97,139,106,177,38,100,82,202,199,79,81,124,65,96,92,100,179,87,106,168,108,119,108,66,117,155,59,85,141,57,84,148,100,113,103,109,185,84,83,106,368,118,107,94,520,

21,125,261,394,196,122,409,398,143,1808,1357,1863,217,124,611,905,225,148,96,191,332,120,1234,1549,137,366,382,135,619,2509,1353,336,2379,203,220,173,178,229,2769,3364,243,118,2216,2820,372,179,376,175,3181,

22,553,928,634,215,201,1271,82,136,749,206,3743,4156,109,118,137,225,127,93,1160,718,2067,502,645,126,314,129,160,86,234,145,98,189,120,128,4079,4977,7282,7680,302,781,113,276,536,309,259,211,127,1118,

22,373,161,453,163,1434,122,400,185,170,178,119,159,74,139,108,120,98,72,90,96,160,107,87,97,52,117,91,123,165,93,125,201,113,44,158,98,202,128,112,120,84,90,752,467,675,161,150,267,

21,178,224,238,67,158,174,285,114,468,4255,213,3201,1925,1084,1225,3698,4037,1963,448,282,1966,350,703,679,160,3776,2435,1802,865,987,784,550,111,2141,246,2359,3885,3170,880,2047,3493,1699,6539,1335,7093,1042,121,2433,

22,112,99,205,199,143,145,212,222,176,80,173,258,218,148,296,204,170,253,185,249,157,203,179,134,163,157,199,169,153,223,144,216,113,239,219,320,242,174,148,248,163,90,4037,3661,225,219,207,4269,

40,78,295,585,90,197,177,323,184,194,212,307,198,165,113,285,215,162,1749,1970,486,97,528,594,195,263,233,5908,6252,404,124,141,429,194,250,373,221,279,277,252,193,3319,3618,512,220,878,1313,225,2569,

23,146,331,446,233,338,204,332,153,288,376,928,390,225,118,163,245,209,212,141,348,137,670,531,162,298,143,234,260,534,189,137,745,193,313,321,214,249,306,896,403,164,136,331,284,205,204,133,1006,

19,172,224,335,217,346,194,235,773,224,3664,774,244,5144,5477,1093,3361,4017,437,737,215,363,671,148,878,156,510,3846,4188,198,752,1030,3365,2773,196,3093,386,688,229,223,209,5516,5903,419,12201,11558,1262,305,823,

31,190,126,581,247,230,165,278,261,283,209,225,246,193,184,154,208,187,218,169,173,249,171,265,149,954,221,369,497,414,197,165,486,2634,321,369,183,180,269,223,225,195,157,478,5038,5543,221,175,1718,

20,1220,945,4277,156,1250,1546,1912,1615,141,6582,2756,4296,1142,2904,4374,157,172,81,141,5128,4941,1425,6425,5863,7105,1934,9164,1160,5641,648,961,6846,3379,2303,109,2689,10715,7285,407,789,523,1054,8455,10009,2904,7558,687,1362,

23,198,265,813,240,203,7884,6900,152,313,797,307,188,109,203,438,4933,2072,1234,568,4046,3843,2612,3362,2005,2391,906,3438,2328,1104,1651,218,2177,594,397,3960,4382,6682,4232,3622,3404,390,765,5052,10889,10092,1578,297,1413,

70,276,234,828,390,432,343,385,78,422,281,1303,388,235,219,312,234,500,94,234,222,109,1125,340,281,375,1044,93,242,1000,96,187,953,105,297,250,172,297,416,1672,277,156,562,720,828,435,4930,2160,3657,

23,103,219,390,188,94,123,328,109,125,1453,481,1579,1282,1563,542,187,2206,1956,125,2525,319,632,188,1113,159,409,5023,5304,610,1016,1373,2375,63,5415,8210,328,2959,6283,7184,6887,547,2967,5773,250,500,891,234,3989,

41,774,1594,576,2187,536,422,370,343,485,1017,335,344,344,257,406,235,640,568,297,313,258,1000,483,266,453,1336,711,313,2188,1470,773,922,420,297,297,520,282,828,683,344,363,500,1172,305,422,641,816,844,

31,149,328,515,179,172,188,437,172,191,1922,322,250,172,172,144,188,156,156,172,328,173,219,828,165,500,157,1355,827,250,2276,2596,782,231,297,906,134,250,672,796,282,185,157,312,235,703,159,129,2687,

